data1,data2,data3,label
44.0,8.0,1002.0,leftright
30.0,21.0,1006.0,leftright
10.0,21.0,1011.0,leftright
-15.0,20.0,1011.0,leftright
-7.0,23.0,1012.0,leftright
31.0,18.0,1006.0,leftright
28.0,10.0,1003.0,leftright
24.0,-25.0,981.0,leftright
3.0,6.0,1002.0,leftright
1.0,8.0,1004.0,leftright
12.0,70.0,1010.0,leftright
43.0,56.0,996.0,leftright
-38.0,-21.0,999.0,leftright
-67.0,-19.0,1005.0,leftright
-52.0,28.0,1001.0,leftright
-86.0,69.0,1004.0,leftright
-124.0,14.0,1000.0,leftright
-259.0,113.0,1005.0,leftright
-205.0,46.0,1000.0,leftright
-302.0,35.0,988.0,leftright
-352.0,54.0,1004.0,leftright
-324.0,42.0,991.0,leftright
-285.0,17.0,986.0,leftright
-217.0,-31.0,1031.0,leftright
-148.0,-62.0,1003.0,leftright
-126.0,-57.0,1036.0,leftright
-127.0,-81.0,993.0,leftright
-34.0,-82.0,993.0,leftright
-82.0,-54.0,985.0,leftright
-94.0,-43.0,950.0,leftright
-75.0,-51.0,1077.0,leftright
10.0,-66.0,1012.0,leftright
101.0,-45.0,961.0,leftright
178.0,-6.0,972.0,leftright
301.0,0.0,1076.0,leftright
419.0,0.0,1011.0,leftright
427.0,-7.0,983.0,leftright
421.0,-12.0,982.0,leftright
426.0,10.0,1034.0,leftright
419.0,36.0,1024.0,leftright
344.0,13.0,939.0,leftright
350.0,58.0,1014.0,leftright
367.0,91.0,1005.0,leftright
374.0,55.0,994.0,leftright
395.0,36.0,989.0,leftright
387.0,45.0,995.0,leftright
378.0,40.0,982.0,leftright
356.0,32.0,1047.0,leftright
356.0,2.0,1015.0,leftright
345.0,5.0,998.0,leftright
331.0,3.0,1041.0,leftright
288.0,-19.0,999.0,leftright
247.0,-36.0,986.0,leftright
199.0,-50.0,963.0,leftright
143.0,-59.0,964.0,leftright
97.0,-64.0,968.0,leftright
19.0,-91.0,1060.0,leftright
-41.0,-59.0,1024.0,leftright
-61.0,-78.0,997.0,leftright
-101.0,-66.0,986.0,leftright
-188.0,-25.0,1034.0,leftright
-227.0,-48.0,990.0,leftright
-275.0,-39.0,1011.0,leftright
-304.0,-34.0,1008.0,leftright
-343.0,-49.0,1014.0,leftright
-441.0,-82.0,978.0,leftright
-523.0,-99.0,1029.0,leftright
-577.0,-112.0,999.0,leftright
-578.0,-87.0,1011.0,leftright
-536.0,-34.0,995.0,leftright
-462.0,4.0,1015.0,leftright
-366.0,-18.0,1008.0,leftright
-355.0,-65.0,993.0,leftright
-294.0,0.0,970.0,leftright
-283.0,-10.0,963.0,leftright
-280.0,-53.0,964.0,leftright
-281.0,-21.0,969.0,leftright
-289.0,-17.0,973.0,leftright
-276.0,-19.0,1059.0,leftright
-292.0,9.0,1078.0,leftright
-231.0,-17.0,979.0,leftright
-153.0,-11.0,991.0,leftright
-92.0,52.0,1068.0,leftright
-9.0,38.0,937.0,leftright
53.0,10.0,1014.0,leftright
59.0,22.0,986.0,leftright
110.0,45.0,1008.0,leftright
142.0,37.0,1021.0,leftright
195.0,33.0,1028.0,leftright
245.0,15.0,986.0,leftright
269.0,14.0,983.0,leftright
350.0,-68.0,1020.0,leftright
325.0,-53.0,994.0,leftright
305.0,47.0,1030.0,leftright
295.0,75.0,985.0,leftright
284.0,42.0,1007.0,leftright
273.0,47.0,994.0,leftright
238.0,46.0,1006.0,leftright
235.0,-4.0,1005.0,leftright
274.0,72.0,998.0,leftright
316.0,65.0,1002.0,leftright
323.0,90.0,1034.0,leftright
318.0,44.0,972.0,leftright
336.0,50.0,1023.0,leftright
340.0,48.0,1008.0,leftright
302.0,25.0,965.0,leftright
180.0,2.0,1007.0,leftright
127.0,0.0,1012.0,leftright
69.0,-13.0,1009.0,leftright
41.0,-19.0,997.0,leftright
0.0,-21.0,1005.0,leftright
-45.0,-20.0,998.0,leftright
-92.0,-10.0,987.0,leftright
-132.0,-4.0,1019.0,leftright
-188.0,-14.0,998.0,leftright
-332.0,-65.0,969.0,leftright
-492.0,-97.0,1001.0,leftright
-648.0,-86.0,1038.0,leftright
-704.0,-86.0,995.0,leftright
-635.0,8.0,1002.0,leftright
-687.0,-54.0,1012.0,leftright
-633.0,15.0,1002.0,leftright
-602.0,41.0,1003.0,leftright
-613.0,4.0,976.0,leftright
-596.0,-15.0,1039.0,leftright
-516.0,-5.0,1005.0,leftright
-397.0,-1.0,969.0,leftright
-324.0,-4.0,1024.0,leftright
-205.0,-33.0,977.0,leftright
-97.0,-42.0,1016.0,leftright
10.0,-57.0,1008.0,leftright
47.0,-60.0,988.0,leftright
170.0,-50.0,1006.0,leftright
268.0,-31.0,990.0,leftright
360.0,-25.0,1021.0,leftright
403.0,-18.0,975.0,leftright
485.0,14.0,1006.0,leftright
559.0,2.0,979.0,leftright
666.0,-18.0,1164.0,leftright
690.0,-37.0,1034.0,leftright
688.0,-51.0,1002.0,leftright
676.0,-61.0,1010.0,leftright
662.0,-64.0,950.0,leftright
699.0,-48.0,990.0,leftright
750.0,-70.0,978.0,leftright
732.0,-62.0,958.0,leftright
640.0,-76.0,983.0,leftright
511.0,-74.0,934.0,leftright
365.0,-49.0,922.0,leftright
257.0,-44.0,935.0,leftright
168.0,-29.0,1295.0,leftright
11.0,54.0,879.0,leftright
-92.0,-49.0,1035.0,leftright
-243.0,-102.0,1019.0,leftright
-389.0,-75.0,989.0,leftright
-503.0,-86.0,1025.0,leftright
-526.0,-68.0,945.0,leftright
-521.0,-1.0,1030.0,leftright
-520.0,25.0,963.0,leftright
-559.0,-5.0,1029.0,leftright
-624.0,-16.0,1026.0,leftright
-634.0,32.0,1015.0,leftright
-552.0,47.0,996.0,leftright
-541.0,-19.0,998.0,leftright
-491.0,40.0,1021.0,leftright
-417.0,50.0,1004.0,leftright
-351.0,39.0,1009.0,leftright
-295.0,19.0,1003.0,leftright
-215.0,-4.0,1006.0,leftright
-136.0,-2.0,963.0,leftright
-36.0,-12.0,1001.0,leftright
33.0,-11.0,1010.0,leftright
106.0,-34.0,999.0,leftright
218.0,-12.0,1020.0,leftright
263.0,-8.0,1001.0,leftright
280.0,-5.0,1011.0,leftright
295.0,7.0,965.0,leftright
308.0,4.0,1029.0,leftright
299.0,2.0,984.0,leftright
319.0,9.0,1016.0,leftright
338.0,15.0,1001.0,leftright
311.0,-10.0,994.0,leftright
244.0,23.0,1003.0,leftright
339.0,49.0,1009.0,leftright
334.0,4.0,1001.0,leftright
308.0,-12.0,1010.0,leftright
315.0,-2.0,1007.0,leftright
266.0,15.0,1012.0,leftright
220.0,0.0,998.0,leftright
195.0,-2.0,997.0,leftright
