data1,data2,data3,label
84.0,-52.0,1026.0,idle
81.0,-52.0,1035.0,idle
83.0,-60.0,1026.0,idle
91.0,-64.0,1013.0,idle
89.0,-75.0,1004.0,idle
97.0,-84.0,1001.0,idle
97.0,-82.0,1011.0,idle
93.0,-87.0,1009.0,idle
97.0,-87.0,1003.0,idle
97.0,-79.0,1002.0,idle
96.0,-69.0,1006.0,idle
93.0,-62.0,1001.0,idle
100.0,-59.0,981.0,idle
101.0,-57.0,977.0,idle
97.0,-60.0,996.0,idle
96.0,-58.0,1016.0,idle
90.0,-57.0,1032.0,idle
94.0,-66.0,1027.0,idle
97.0,-68.0,1016.0,idle
92.0,-71.0,1020.0,idle
98.0,-75.0,1024.0,idle
107.0,-76.0,1009.0,idle
107.0,-75.0,995.0,idle
106.0,-78.0,977.0,idle
119.0,-72.0,970.0,idle
120.0,-71.0,960.0,idle
120.0,-64.0,960.0,idle
116.0,-62.0,977.0,idle
118.0,-65.0,984.0,idle
124.0,-65.0,979.0,idle
124.0,-66.0,983.0,idle
127.0,-65.0,985.0,idle
126.0,-59.0,992.0,idle
121.0,-56.0,1002.0,idle
118.0,-59.0,1024.0,idle
116.0,-73.0,1032.0,idle
113.0,-72.0,1030.0,idle
122.0,-62.0,1033.0,idle
123.0,-66.0,1022.0,idle
128.0,-74.0,1007.0,idle
132.0,-75.0,1012.0,idle
133.0,-75.0,1000.0,idle
143.0,-81.0,979.0,idle
139.0,-71.0,969.0,idle
142.0,-65.0,956.0,idle
152.0,-64.0,941.0,idle
148.0,-58.0,939.0,idle
146.0,-43.0,940.0,idle
141.0,-34.0,951.0,idle
137.0,-38.0,955.0,idle
145.0,-48.0,945.0,idle
153.0,-54.0,943.0,idle
153.0,-54.0,949.0,idle
149.0,-54.0,962.0,idle
148.0,-51.0,964.0,idle
145.0,-53.0,965.0,idle
145.0,-42.0,964.0,idle
138.0,-2.0,998.0,idle
124.0,1.0,1013.0,idle
133.0,-4.0,1006.0,idle
131.0,-14.0,1008.0,idle
132.0,-21.0,1023.0,idle
127.0,-21.0,1029.0,idle
133.0,-19.0,1022.0,idle
135.0,-8.0,1026.0,idle
133.0,-9.0,1013.0,idle
140.0,-9.0,986.0,idle
146.0,-5.0,975.0,idle
145.0,0.0,971.0,idle
148.0,5.0,973.0,idle
148.0,6.0,961.0,idle
149.0,12.0,951.0,idle
150.0,17.0,943.0,idle
149.0,15.0,927.0,idle
152.0,17.0,913.0,idle
150.0,17.0,906.0,idle
149.0,22.0,903.0,idle
148.0,23.0,895.0,idle
146.0,20.0,889.0,idle
142.0,33.0,906.0,idle
132.0,39.0,919.0,idle
132.0,44.0,930.0,idle
122.0,41.0,938.0,idle
108.0,31.0,950.0,idle
104.0,28.0,970.0,idle
94.0,16.0,984.0,idle
82.0,7.0,998.0,idle
73.0,6.0,1020.0,idle
61.0,12.0,1038.0,idle
64.0,14.0,1043.0,idle
58.0,12.0,1031.0,idle
56.0,14.0,1031.0,idle
48.0,9.0,1033.0,idle
51.0,-1.0,1026.0,idle
51.0,-9.0,999.0,idle
55.0,-13.0,981.0,idle
53.0,-13.0,983.0,idle
49.0,-8.0,1005.0,idle
42.0,-13.0,1018.0,idle
31.0,-14.0,1020.0,idle
36.0,-5.0,1002.0,idle
34.0,6.0,973.0,idle
30.0,9.0,937.0,idle
33.0,1.0,920.0,idle
33.0,-15.0,925.0,idle
24.0,-27.0,962.0,idle
7.0,-50.0,986.0,idle
0.0,-62.0,995.0,idle
-6.0,-60.0,980.0,idle
-12.0,-46.0,968.0,idle
-27.0,-42.0,960.0,idle
-27.0,-45.0,954.0,idle
-30.0,-62.0,961.0,idle
-46.0,-75.0,980.0,idle
-59.0,-67.0,1015.0,idle
-76.0,-79.0,1035.0,idle
-76.0,-98.0,1033.0,idle
-76.0,-110.0,1029.0,idle
-76.0,-116.0,1019.0,idle
-80.0,-124.0,1020.0,idle
-79.0,-126.0,1038.0,idle
-85.0,-128.0,1041.0,idle
-87.0,-122.0,1029.0,idle
-83.0,-111.0,1012.0,idle
-93.0,-100.0,1012.0,idle
-96.0,-85.0,1018.0,idle
-101.0,-73.0,1024.0,idle
-102.0,-63.0,1037.0,idle
-107.0,-33.0,1072.0,idle
-133.0,-25.0,1109.0,idle
-129.0,-29.0,1108.0,idle
-126.0,-44.0,1086.0,idle
-126.0,-65.0,1062.0,idle
-121.0,-79.0,1044.0,idle
-126.0,-86.0,1025.0,idle
-127.0,-84.0,1014.0,idle
-127.0,-77.0,1009.0,idle
-132.0,-57.0,1019.0,idle
-144.0,-36.0,1038.0,idle
-147.0,-36.0,1037.0,idle
-143.0,-35.0,1023.0,idle
-137.0,-34.0,1015.0,idle
-134.0,-36.0,1015.0,idle
-129.0,-43.0,1012.0,idle
-127.0,-54.0,1006.0,idle
-116.0,-59.0,1000.0,idle
-109.0,-62.0,995.0,idle
-110.0,-53.0,996.0,idle
-107.0,-51.0,980.0,idle
-107.0,-48.0,968.0,idle
-103.0,-37.0,959.0,idle
-107.0,-31.0,958.0,idle
-111.0,-25.0,978.0,idle
-115.0,-5.0,1024.0,idle
-129.0,-5.0,1061.0,idle
-135.0,-4.0,1049.0,idle
-123.0,0.0,1037.0,idle
-124.0,-1.0,1040.0,idle
-108.0,-6.0,1032.0,idle
-99.0,-8.0,1016.0,idle
-100.0,-3.0,1011.0,idle
